ID,Serie_titol,edad,IMDB_vots,IMDB_nota,temporades,episodis,data_inici,data_final,duració,plataforma,genere
tt9165454,Middle School Moguls,2,47,7.4,1,4,9/8/2019,9/29/2019,21,Nickelodeon,"adventure, comedia, short"
tt3038546,Mike Tyson Mysteries,6,4631,8.1,4,70,10/27/2014,2/16/2020,1938,Adult Swim,"adventure, comedia, crime, fantasy, horror, mystery, science fiction"
tt0197148,Mission Hill,6,5037,7.7,1,13,9/21/1999,8/11/2002,1055,The WB,"comedia, drama"
tt0476922,Moral Orel,7,5657,7.9,3,43,12/13/2005,12/18/2008,1101,Adult Swim,"comedia, drama"
tt1751105,My Little Pony: Friendship is Magic,1,20332,7.6,9,221,10/10/2010,5/25/2020,3515,The Hub,"adventure, comedia, drama, familia, fantasy, musical"
tt8011944,Nomad of Nowhere,none listed,347,7.3,1,12,3/16/2018,9/21/2018,189,Rooster Teeth,"adventure, fantasy, science fiction, western"
tt6965802,OK K.O.! Let's Be Heroes,2,2690,6.5,3,112,6/13/2017,9/6/2019,815,Cartoon Network,"action, adventure, comedia, familia, fantasy, science fiction"
tt12605636,Onyx Equinox,7,415,7.1,1,12,11/21/2020,12/26/2020,35,Crunchyroll Originals,"action, adventure, drama, fantasy, horror"
tt8235236,Paradise PD,7,17550,6.8,3,30,8/31/2018,3/12/2021,924,Netflix,"action, comedia, crime"
tt6148744,Pete the Cat,1,304,7.7,2,35,12/25/2017,11/4/2021,1410,"YouTube, Amazon Prime","comedia, familia"
tt10140028,Q-Force,7,4524,6.4,1,10,9/2/2021,9/2/2021,0,Netflix,"action, adventure, comedia, crime, fantasy, science fiction"
tt0372707,Queer Duck,6,232,5.7,1,20,10/11/2000,5/15/2002,581,"Showtime, Webseries","comedia, short"
tt0401747,Red vs. Blue,7,9297,8.3,18,364,4/1/2003,12/28/2020,6481,Web Series,"action, adventure, comedia, fantasy, science fiction, short"
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,7,965,6.1,2,14,7/10/2007,1/27/2009,567,LOGO TV,comedia
tt2861424,Rick and Morty,7,454359,9.2,5,51,12/2/2013,,2980,Adult Swim,"action, comedia, science fiction"
tt13351440,Ridley Jones,1,193,4.2,2,11,7/13/2021,7/13/2021,0,Netflix,"adventure, comedia, familia, fantasy, musical"
tt8741368,Rugrats (2021),2,920,3.6,1,14,5/27/2021,5/27/2021,0,Paramount +,"adventure, comedia, familia, fantasy, mystery, short"
tt3066242,RWBY,5,5922,7.6,8,106,11/5/2012,,3372,"Rooster Teeth, Amazon Prime, YouTube","action, adventure, comedia, drama, fantasy, science fiction, thriller"
tt12286260,Santa Inc.,7,14089,1.4,1,8,12/2/2021,12/2/2021,0,HBO Max,comedia
tt1660055,Scooby Doo! Mystery Incorporated,2,10970,8,2,52,4/5/2010,4/5/2013,1096,Cartoon Network,"adventure, comedia, crime, drama, familia, fantasy, horror, mystery"
tt7745956,She-Ra and the Princesses of Power,2,14158,7.8,5,52,11/13/2018,5/15/2020,549,Netflix,"action, adventure, comedia, drama, familia, fantasy, science fiction"
tt1232266,"Sit Down, Shut Up",6,1844,6,1,13,4/19/2009,11/21/2009,216,Fox,comedia
tt8910922,Solar Opposites,7,17957,8,2,17,5/8/2020,,631,Hulu,"comedia, science fiction"
tt0121955,South Park,7,352246,8.7,24,311,8/13/1997,,8935,comedia Central,comedia
tt0108937,Space Ghost Coast to Coast,none listed,6898,7.9,11,108,4/15/1994,4/1/2011,6195,Cartoon Network,"comedia, science fiction, talk show"
tt0206512,SpongeBob SquarePants,1,92151,8.2,13,270,5/1/1999,,8309,Nickelodeon,"comedia, familia, fantasy"
tt9184820,Star Trek: Lower Decks,7,13991,7.3,2,20,8/5/2020,,542,Paramount +,"action, adventure, comedia, science fiction"
tt9795876,Star Trek: Prodigy,2,1693,6.7,1,7,10/28/2021,,93,Paramount +,"action, adventure, comedia, drama, familia, science fiction"
tt2758770,Star vs. the Forces of Evil,2,13344,7.9,4,77,1/18/2015,5/19/2019,1582,Disney XD,"action, adventure, comedia, drama, familia, fantasy, science fiction, thriller"
tt8336340,Star Wars Resistance,2,5285,5,2,40,10/7/2018,1/26/2020,476,Disney Channel,"action, adventure, comedia, science fiction"
tt0247729,Static Shock,2,5692,7.3,4,52,9/20/2000,5/22/2004,483,Kids' WB,"action, adventure, crime, drama, familia, science fiction"
tt3061046,Steven Universe,5,30906,8.1,5,160,7/27/2013,3/27/2020,2435,Cartoon Network,"action, adventure, comedia, drama, familia, fantasy, musical, science fiction"
tt13714610,Steven Universe Future,2,1849,7.5,1,20,12/7/2019,3/27/2020,111,Cartoon Network,"action, adventure, comedia, drama, familia, fantasy, musical, science fiction"
tt8146760,Summer Camp Island,2,1315,7.4,5,100,7/7/2018,12/9/2021,1251,"Cartoon Network, HBO Max","adventure, comedia, familia, fantasy, short"
tt1031283,Superjail!,7,7043,7.7,4,36,5/13/2007,7/20/2014,2625,Adult Swim,"comedia, crime, fantasy"
tt0115378,Superman: The Animated Series,5,15193,8.1,4,54,9/6/1996,2/12/2000,1254,The WB,"action, adventure, drama, familia, science fiction"
tt2818496,The Awesomes,6,1420,7.3,3,30,8/1/2013,11/3/2015,824,Hulu,"action, comedia"
tt0373732,The Boondocks,7,29144,8.4,4,55,11/6/2005,6/23/2014,3151,Adult Swim,"action, comedia, drama"
tt10394790,The Bravest Knight,none listed,109,6.3,1,13,6/21/2019,10/11/2019,112,Hulu,familia
tt6435118,The Bug Diaries,1,54,6.6,1,12,4/12/2019,10/2/2019,173,Amazon Prime,"adventure, comedia, familia, short"
tt1195935,The Cleveland Show,6,40507,5.6,4,88,9/27/2009,5/19/2013,1330,Fox,"adventure, comedia, drama"
tt8688814,The Dragon Prince,2,20638,8.4,3,27,9/14/2018,,1233,Netflix,"action, adventure, drama, familia, fantasy, thriller"
tt10684374,The Ghost and Molly McGee,2,584,7.1,1,10,10/1/2021,,120,Disney Channel,"adenture, comedia, familia, fantasy, horror, musical"
tt1183569,The Goode familia,none listed,1383,6.4,1,13,5/27/2009,8/7/2009,72,ABC,comedia
tt9140632,The Great North,6,2906,6.6,2,22,1/3/2021,,391,Fox,comedia
tt1695360,The Legend of Korra,5,114724,8.4,4,52,4/14/2012,12/19/2014,979,Nickelodeon,"action, adventure, comedia, familia, fantasy, science fiction"
tt4859164,The Loud House,2,5569,6.8,5,131,5/2/2016,,2098,Nickelodeon,"adventure, comedia, drama, familia, musical"
tt1372153,The Nutshack,7,1932,2.7,2,16,4/25/2007,11/11/2011,1661,Myx TV,comedia
tt0219446,The Oblongs,6,8929,7,2,13,4/1/2001,10/20/2002,567,The WB,"comedia, science fiction"
tt8050756,The Owl House,2,7660,8,2,29,1/10/2020,,750,Disney Channel,"action, adventure, comedia, drama, familia, fantasy, horror, mystery"
tt0101178,The Ren & Stimpy Show,2,22433,7.5,5,52,8/11/1991,10/20/1996,1897,Nickelodeon,"adventure, comedia"
tt0096697,The Simpsons,5,388518,8.6,33,717,12/17/1989,,11731,Fox,"comedia, short"
tt0417373,The Venture Bros.,7,25143,8.5,7,81,8/7/2004,10/7/2018,5174,Cartoon Network,"action, adventure, comedia, science fiction"
tt0291672,Time Squad,2,1586,7.4,2,26,6/8/2001,11/26/2003,901,Cartoon Network,"comedia, familia, history, science fiction, short, western"
tt7121818,Too Loud,2,71,5,2,16,7/9/2017,10/2/2019,815,YouTube,comedia
tt8891990,Transformers: Cyberverse,2,337,6.9,4,64,8/27/2018,,1251,Cartoon Network,"action, science fiction"
tt1659175,Transformers: Prime,2,6286,7.9,3,65,11/29/2010,7/26/2013,970,The Hub,"action, adventure, comedia, drama, familia, science fiction"
tt8036272,Tuca & Bertie,7,6406,7.4,2,30,5/3/2019,,1002,Adult Swim,comedia
tt8009622,Twelve Forever,2,643,6.4,1,25,7/29/2019,7/29/2019,0,Netflix,"action, adventure, comedia, familia, fantasy"
tt8146766,Victor and Valentino,2,663,6.2,3,94,3/30/2019,,1036,Cartoon Network,"adventure, comedia, familia, fantasy, mystery, short"
tt5580664,Voltron: Legendary Defender,2,8504,8,8,78,6/10/2016,12/14/2018,917,Netflix,"action, adventure, comedia, drama, familia, fantasy, science fiction"
tt0383718,W.I.T.C.H.,2,3463,7.3,2,52,12/18/2004,12/23/2006,735,ABC Kids,"action, adventure, comedia, drama, familia, fantasy, thriller"
tt1641384,Young Justice,5,37588,8.6,4,85,11/26/2010,,4082,"Cartoon Network, DC Universe, HBO Max","action, adventure, crime, romance, science fiction"
