ID,show_title,confirmation_date,character_name,race,gender,orientation,role,representation
tt8146760,Summer Camp Island,7/7/2018,Blanche,N/A,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt8146760,Summer Camp Island,7/7/2018,Puddle,N/A,No Binario,Indeterminado,Personaje Recurrente,Explícito
tt1031283,Superjail!,9/28/2008,Paul Guaye,POC,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt1031283,Superjail!,9/28/2008,Jean Baptiste Le Ghei,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt1031283,Superjail!,9/28/2008,Bruce,POC,Hombre Trans,Indeterminado,Personaje Recurrente,Explícito
tt1031283,Superjail!,9/28/2008,Alice,POC,Mujer Trans,Indeterminado,Personaje Principal,Explícito
tt0115378,Superman: The Animated Series,2/1/1997,Maggie Sawyer,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt2818496,The Awesomes,9/5/2013,Zip Danger/Frantic,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt2818496,The Awesomes,10/20/2015,The Gayfather,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt2818496,The Awesomes,8/8/2013,Tomboy,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt0373732,The Boondocks,12/11/2005,Gangstalicious,POC,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt10394790,The Bravest Knight,6/21/2019,Prince Andrew,POC,Hombre Cis,Gay,Personaje Secundario,Explícito
tt10394790,The Bravest Knight,6/21/2019,Sir Cedric,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt6435118,The Bug Diaries,4/12/2019,Mama Worm,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt6435118,The Bug Diaries,4/12/2019,Moma Worm,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt1195935,The Cleveland Show,10/18/2009,Lloyd Waterman,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt1195935,The Cleveland Show,10/18/2009,Terry Kimple,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt1195935,The Cleveland Show,10/18/2009,Paul,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt8688814,The Dragon Prince,11/22/2019,Ethari,N/A,Hombre Cis,Indeterminado,Personaje Invitado,Explícito
tt8688814,The Dragon Prince,11/22/2019,Runaan,N/A,Hombre Cis,Indeterminado,Personaje Recurrente,Explícito
tt8688814,The Dragon Prince,11/22/2019,Amaya,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt8688814,The Dragon Prince,11/22/2019,Janai,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt8688814,The Dragon Prince,11/22/2019,Kazi,N/A,No Binario,Indeterminado,Personaje Invitado,Implícito
tt10684374,The Ghost and Molly McGee,10/30/2021,Pam Roop,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt10684374,The Ghost and Molly McGee,10/6/2021,Ms. Roop,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt1183569,The Goode Family,6/19/2009,Trish,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt1183569,The Goode Family,6/3/2009,Mo,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt1183569,The Goode Family,6/19/2009,Souki,POC,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt1183569,The Goode Family,6/19/2009,Jenn,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt9140632,The Great North,1/3/2021,Ham Tobin,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt9140632,The Great North,1/3/2021,Crispin Cienfuegos,POC,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt1695360,The Legend of Korra,4/28/2012,Korra,POC,Mujer Cis,Bisexual,Personaje Principal,Implícito
tt1695360,The Legend of Korra,4/14/2012,Asami Sato,POC,Mujer Cis,Bisexual,Personaje Secundario,Explícito
tt1695360,The Legend of Korra,9/13/2013,Kya,POC,Mujer Cis,Indeterminado,Personaje Recurrente,Implícito
tt1695360,The Legend of Korra,6/23/2012,Kyoshi,POC,Mujer Cis,Bisexual,Personaje Invitado,Explícito
tt4859164,The Loud House,7/20/2016,Howard McBride,Blanco,Hombre Cis,Gay,Personaje Secundario,Explícito
tt4859164,The Loud House,7/20/2016,Harold McBride,POC,Hombre Cis,Gay,Personaje Secundario,Explícito
tt4859164,The Loud House,2/15/2020,Lainey,Blanco,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt4859164,The Loud House,6/15/2017,Sam Sharp,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt4859164,The Loud House,5/2/2016,Luna Loud,Blanco,Mujer Cis,Queer,Personaje Secundario,Explícito
tt4859164,The Loud House,2/15/2020,Alice,POC,Mujer Cis,Lesbiana,Personaje Invitado,Explícito
tt4859164,The Loud House,7/21/2016,Dana Dufresne,Blanco,Mujer Trans,Indeterminado,Personaje Recurrente,Implícito
tt1372153,The Nutshack,4/7/2009,Cherry Pie,POC,Mujer Trans,Indeterminado,Personaje Secundario,Explícito
tt0219446,The Oblongs,4/2/2001,Anita Bidet,Blanco,Mujer Trans,Indeterminado,Personaje Secundario,Explícito
tt8050756,The Owl House,1/10/2020,Eda Clawthorne,N/A,Mujer Cis,Queer,Personaje Principal,Explícito
